"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.79794177535948e-127,3.16666239043085,0.466,0.059,4.75464330857253e-123,"1","SLC7A7"
1.84702069711733e-125,3.31901358546871,0.505,0.079,2.31228521072118e-121,"1","TNFSF13B"
4.08898834818158e-122,2.9439595019751,0.525,0.093,5.11900451308852e-118,"1","RNF130"
2.86336517255131e-121,3.58362862668264,0.432,0.052,3.58464685951699e-117,"1","APOBEC3A"
2.52447609364481e-120,4.48607926616216,0.322,0.017,3.16039162163394e-116,"1","BST1"
6.8374542850559e-119,3.92438654476385,0.371,0.033,8.55980901946149e-115,"1","VCAN"
5.38251915829752e-117,1.91997435110514,0.745,0.268,6.73837573427267e-113,"1","TALDO1"
7.58395621131292e-116,3.13326518055074,0.428,0.054,9.49435478094265e-112,"1","MNDA"
9.14715394474261e-116,6.13415181073796,0.269,0.007,1.14513220234233e-111,"1","S100A12"
2.68443547526542e-115,1.29610315890959,0.984,0.848,3.36064477148478e-111,"1","GAPDH"
1.3464662546079e-112,4.23236307252862,0.344,0.028,1.68564110414364e-108,"1","PLBD1"
3.69493625237202e-109,2.8401817671811,0.534,0.114,4.62569069434453e-105,"1","CTSB"
9.94014528262465e-107,2.6879546701581,0.503,0.097,1.24440678793178e-102,"1","CTSH"
1.71092145926711e-105,1.88663866458183,0.772,0.303,2.1419025748565e-101,"1","IFI6"
6.86483628342973e-104,3.17689028310548,0.401,0.054,8.59408854322568e-100,"1","ODF3B"
8.08176116227561e-103,3.23075077013587,0.389,0.051,1.01175567990528e-98,"1","CPVL"
